target_key	target_label	profiles	articles	collections	union_markers	recurring_markers	recurring_fraction	strict_intersection_markers	strict_intersection_fraction	mean_marker_prevalence	most_recurrent_marker	most_recurrent_marker_articles	maximum_marker_recurrence	pairwise_mean_jaccard	pairwise_any_overlap	intersection_genes	top_recurrent_genes
CL:0000115	endothelial cell	52	52	biorxiv | hca	144	37	0.2569444444444444	0	0.0	0.03859508547008547	PECAM1	28	0.5384615384615384	0.10378312826573693	0.5082956259426847		PECAM1 (28/52) | CDH5 (22/52) | VWF (21/52) | CLDN5 (12/52) | CD34 (8/52) | KDR (8/52) | PLVAP (6/52) | ACKR1 (5/52) | ERG (5/52) | ABCG2 (4/52)
CL:0000057	fibroblast	50	50	biorxiv | hca	108	28	0.25925925925925924	0	0.0	0.04296296296296296	DCN	21	0.42	0.08525362539288109	0.4530612244897959		DCN (21/50) | COL1A2 (17/50) | COL1A1 (15/50) | PDGFRA (15/50) | LUM (11/50) | COL3A1 (10/50) | MMP2 (5/50) | PDGFRB (5/50) | VIM (5/50) | FBLN1 (4/50)
CL:0000235	macrophage	43	43	biorxiv | hca	97	35	0.36082474226804123	0	0.0	0.04411412131383361	CD14	12	0.27906976744186046	0.048526908369101056	0.24473975636766335		CD14 (12/43) | CD163 (12/43) | CD68 (11/43) | MRC1 (6/43) | C1QA (5/43) | MSR1 (5/43) | C1QB (4/43) | C1QC (4/43) | FCGR3A (4/43) | TREM2 (4/43)
CL:0000084	T cell	39	39	biorxiv | hca	69	30	0.43478260869565216	0	0.0	0.06243032329988851	CD3D	21	0.5384615384615384	0.1283793504441278	0.4669365721997301		CD3D (21/39) | CD3E (18/39) | CD3G (9/39) | CD2 (7/39) | IL7R (7/39) | CD4 (6/39) | CD8A (6/39) | CD247 (5/39) | TRAC (4/39) | CD69 (3/39)
CL:0000576	monocyte	36	36	biorxiv | hca	90	15	0.16666666666666666	0	0.0	0.0462962962962963	S100A9	14	0.3888888888888889	0.07274106845535416	0.2968253968253968		S100A9 (14/36) | S100A8 (13/36) | CD14 (11/36) | FCN1 (7/36) | IL1B (5/36) | LYZ (4/36) | VCAN (4/36) | CSF1R (3/36) | CD163 (2/36) | CD68 (2/36)
CL:0000623	natural killer cell	34	34	biorxiv | hca	50	15	0.3	0	0.0	0.08058823529411764	GNLY	15	0.4411764705882353	0.1211020955673362	0.5472370766488414		GNLY (15/34) | NCAM1 (13/34) | NKG7 (12/34) | PRF1 (11/34) | KLRD1 (9/34) | GZMB (8/34) | NCR1 (7/34) | EOMES (6/34) | FCGR3A (4/34) | TYROBP (4/34)
CL:0000236	B cell	32	32	biorxiv | hca	49	18	0.3673469387755102	0	0.0	0.08163265306122448	MS4A1	20	0.625	0.17545546576025703	0.6451612903225806		MS4A1 (20/32) | CD19 (16/32) | CD79A (16/32) | CD79B (9/32) | PAX5 (5/32) | BANK1 (4/32) | CD22 (3/32) | IGHG1 (3/32) | IGHM (3/32) | BCL11A (2/32)
CL:0000669	pericyte	30	30	biorxiv | hca	53	14	0.2641509433962264	0	0.0	0.07610062893081761	RGS5	19	0.6333333333333333	0.14941848240289574	0.6229885057471264		RGS5 (19/30) | PDGFRB (13/30) | MCAM (9/30) | NOTCH3 (9/30) | ACTA2 (8/30) | CSPG4 (7/30) | TAGLN (3/30) | ABCC9 (2/30) | CD36 (2/30) | COX4I2 (2/30)
CL:0000786	plasma cell	26	26	biorxiv | hca	49	23	0.46938775510204084	0	0.0	0.10047095761381476	SDC1	14	0.5384615384615384	0.10881162125958506	0.5661538461538461		SDC1 (14/26) | JCHAIN (8/26) | MZB1 (8/26) | CD38 (7/26) | XBP1 (7/26) | PRDM1 (6/26) | IGHA1 (5/26) | IGHG1 (5/26) | IGKC (5/26) | TNFRSF17 (5/26)
CL:0000192	smooth muscle cell	25	25	biorxiv | hca	49	12	0.24489795918367346	0	0.0	0.0946938775510204	MYH11	17	0.68	0.17183983552679205	0.7166666666666667		MYH11 (17/25) | ACTA2 (15/25) | TAGLN (9/25) | DES (8/25) | ACTG2 (6/25) | CNN1 (6/25) | MYL9 (4/25) | PLN (4/25) | CALD1 (3/25) | TPM2 (3/25)
